mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
6,1,46462,2012.3328003529764,2364.592511514786
6,2,36685,2479.1442175276,2548.766961155786
6,3,22036,2040.0148048647668,2091.163386730804
6,4,8494,1196.6682540616907,1518.8019743348248
6,5,4036,1209.3527576808722,1400.3684390485628
6,6,2515,600.2989741550696,850.9499562624255
6,7,1972,642.1139452332657,1181.1766430020284
6,8,2203,894.5618202451203,1508.0274035406264
6,9,2612,1269.8357733537518,1222.507492343032
6,10,2364,1610.5535406091371,1845.6927580372248
6,11,1851,2397.489854132901,2134.4873689897354
6,12,281,2990.037758007117,2039.431565836299
6,13,1034,279.2533849129594,279.76384912959384
6,14,34,116.2279411764706,37.00264705882353
6,15,126,131.74603174603175,27.459444444444443
6,16,29,479.37931034482756,188.1296551724138
6,17,22,240.22727272727272,56.63636363636363
6,18,7,60.142857142857146,71.51571428571428
6,19,396,18.126262626262626,40.85159090909091
6,20,15,171.262,214.64533333333333
6,21,20,269.35,263.861
6,22,68,289.4385294117647,195.5085294117647
6,23,117,167.80299145299145,112.18940170940171
6,24,122,159.0,91.78622950819673
